TransactionID,Items
1,"Inception,The Dark Knight,Interstellar"
2,"The Godfather,Goodfellas"
3,"Inception,Interstellar"
4,"The Dark Knight,Joker,The Batman"
5,"Pulp Fiction,Kill Bill,Django"
6,"The Godfather,Scarface,Goodfellas"
7,"Inception,The Dark Knight"
8,"Interstellar,The Martian"
9,"Pulp Fiction,Django"
10,"The Dark Knight,The Batman"
11,"Inception,Interstellar,The Martian"
12,"The Godfather,Goodfellas"
13,"Joker,The Dark Knight"
14,"Kill Bill,Django,Pulp Fiction"
15,"Inception,The Dark Knight,Interstellar"
16,"The Batman,Joker"
17,"Scarface,The Godfather"
18,"The Martian,Interstellar"
19,"Pulp Fiction,Kill Bill"
20,"The Dark Knight,Inception"
21,"Goodfellas,Scarface"
22,"Django,Pulp Fiction"
23,"The Batman,The Dark Knight,Joker"
24,"Interstellar,Inception"
25,"The Godfather,Goodfellas,Scarface"
26,"Kill Bill,Pulp Fiction"
27,"The Dark Knight,Joker"
28,"Inception,Interstellar,The Dark Knight"
29,"The Martian,Interstellar"
30,"Django,Kill Bill"
31,"The Godfather,Scarface"
32,"The Batman,Joker,The Dark Knight"
33,"Pulp Fiction,Django,Kill Bill"
34,"Inception,The Dark Knight"
35,"Goodfellas,The Godfather"
36,"Interstellar,The Martian,Inception"
37,"Joker,The Batman"
38,"Kill Bill,Django"
39,"The Dark Knight,The Batman"
40,"Scarface,Goodfellas"
